5366;RAPIDA RUBEM BERTA;R62-1;O
5365;RAPIDA PONTA GROSSA;R5-2;O
5364;RAPIDA PONTA GROSSA;R5-1;O
5363;RAPIDA - PROTASIO;R41-2;O
5362;RAPIDA - PROTASIO;R41-1;O
5361;RAPIDA - RESTINGA VELHA;R4-2;O
5360;RAPIDA - RESTINGA VELHA;R4-1;O
5359;RAPIDA - BONSUCESSO/PARADA 13;R321-2;O
5358;RAPIDA - BONSUCESSO/PARADA 13;R321-1;O
5357;RAPIDA - BONSUCESSO;R32-2;O
5356;RAPIDA - BONSUCESSO;R32-1;O
5355;RAPIDA - BENTO;R31-2;O
5354;RAPIDA - BENTO;R31-1;O
5353;RAPIDA/NUCLEO ESPERANCA;R3-2;O
5352;RAPIDA/NUCLEO ESPERANCA;R3-1;O
5351;RAPIDA RESTINGA NOVA/GLORIA;R16-2;O
5350;RAPIDA RESTINGA NOVA/GLORIA;R16-1;O
5349;R莵PIDA RESTINGA NOVA/CAVALHADA/DOMINGOS;R101-2;O
5348;R莵PIDA RESTINGA NOVA/CAVALHADA/DOMINGOS;R101-1;O
5347;RAPIDA RESTINGA NOVA/CAVALHADA;R10-2;O
5346;RAPIDA RESTINGA NOVA/CAVALHADA;R10-1;O
5345;NOTURNA (PINHEIRO);M98-1;O
5344;MADRUGADAO SERRARIA/PONTA GROSSA;M79-1;O
5343;NOTURNA (BELEM NOVO);M68-1;O
5342;CORUJAO ASSIS BRASIL/BALTAZAR;M31-2;O
5341;CORUJAO ASSIS BRASIL/BALTAZAR;M31-1;O
5340;CORUJAO BALTAZAR/ASSIS BRASIL;M21-2;O
5339;CORUJAO BALTAZAR/ASSIS BRASIL;M21-1;O
5338;RESTINGA NOVA VIA VELHA/5 UNID/NOTURNA;M10-1;O
5337;CARNAVAL/PINHEIRO/RESTINGA;E981-2;O
5336;LOMBA/CARNAVAL;E98-2;O
5335;LOMBA/CARNAVAL;E98-1;O
5334;CENTRO/EVENTO(VIA SERTORIO);E33-2;O
5333;CENTRO/EVENTO(VIA SERTORIO);E33-1;O
5332;FIERGS/ASSIS BRASIL;E30-2;O
5331;FIERGS/ASSIS BRASIL;E30-1;O
5330;FIERGS/DIRETA;E29-2;O
5329;FIERGS/DIRETA;E29-1;O
5328;VESTIBULAR UFRGS/FAPA;E21-2;O
5327;VESTIBULAR UFRGS/FAPA;E21-1;O
5326;AGOSTINHO/MAIAS/RADIO FARROUPILHA;E16-2;O
5325;AGOSTINHO/MAIAS/RADIO FARROUPILHA;E16-1;O
5324;LEOPOLDINA/R.BERTA/EVENTO RADIO FARROUPILHA;E13-2;O
5323;LEOPOLDINA/R.BERTA/EVENTO RADIO FARROUPILHA;E13-1;O
5322;LOMBA/EVENTO RADIO FARROUPILHA;E12-2;O
5321;LOMBA/EVENTO RADIO FARROUPILHA;E12-1;O
5320;RESTINGA/EVENTO RADIO FARROUPILHA;E11-2;O
5319;RESTINGA/EVENTO RADIO FARROUPILHA;E11-1;O
5318;RESTINGA/CARNAVAL(LOMBA);E101-2;O
5317;RESTINGA/CARNAVAL(LOMBA);E101-1;O
5316;RESTINGA/CARNAVAL(VIA LOMBA);E10-2;O
5315;RESTINGA/CARNAVAL(VIA LOMBA);E10-1;O
5314;DIRETAO/VIA NENE PORTALET;D731-2;O
5313;DIRETAO/VIA NENE PORTALET;D731-1;O
5312;DIRETAO/VIA FERNANDO FERRARI;D73-2;O
5311;DIRETAO/VIA FERNANDO FERRARI;D73-1;O
5310;DIRETAO/VIA STA. ROSA;D72-2;O
5309;DIRETAO/VIA STA. ROSA;D72-1;O
5308;DIRETAO/SANTA ROSA;D70-2;O
5307;DIRETAO/SANTA ROSA;D70-1;O
5306;LAMI VIA BELEM NOVO/DIRETA;D67-2;O
5305;LAMI VIA BELEM NOVO/DIRETA;D67-1;O
5304;UNIVERSITARIA-DIRETA;D43-2;O
5303;UNIVERSITARIA-DIRETA;D43-1;O
5302;DIRETAO/ELISABETH;D13-2;O
5301;DIRETAO/ELISABETH;D13-1;O
5300;CIRCULAR LOMBA/QUINTA DO PORTAL;C981-1;O
5299;CIRCULAR LOMBA DO PINHEIRO;C98-1;O
5298;PROTASIO/HUMAITA/NAVEGANTES;B559-1;O
5297;PROTASIO/HUMAITA/VIA PALMIRA GOBBI;B551-1;O
5296;PROTASIO/HUMAITA;B55-1;O
5295;PARQUE/POSTAO IAPI(FINADOS);B517-1;O
5294;ALIMENTADORA ESCOLAR LAMI/B NOVO;A691-2;O
5293;ALIMENTADORA ESCOLAR LAMI/B NOVO;A691-1;O
5292;A. FEIJO/HUMAITA/NAVEGANTES;B259-1;O
5291;A. FEIJO/JOAO PARIS/HUMAITA;B252-1;O
5290;A. FEIJO/HUMAITA/JOAO PARIS;B251-1;O
5289;A. FEIJO / HUMAITA;B25-1;O
5288;AEROPORTO/CARNAVAL;B023-1;O
5287;FAPA/AEROPORTO/LEOPOLDINA;B022-2;O
5286;LEOPOLDINA/AEROPORTO/FAPA;B021-1;O
5285;LEOPOLDINA/AEROPORTO/INDUSTRIAS;B02-1;O
5284;RUBEM BERTA/FIERGS;B011-1;O
5283;UNIVERSITARIA/FAPA;B01-2;O
5282;UNIVERSITARIA/FAPA;B01-1;O
